mese,categoria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2025-12,IC,"(60,120]",1,96,0
2025-12,REG,"(-10,-5]",1,0,6
2026-01,EC,"(-1,0]",2,0,0
2026-01,EC,"(-10,-5]",2,0,13
2026-01,EC,"(-5,-1]",32,0,85
2026-01,EC,"(0,1]",6,6,0
2026-01,EC,"(1,5]",26,88,0
2026-01,EC,"(10,15]",6,82,0
2026-01,EC,"(15,30]",7,153,0
2026-01,EC,"(30,60]",4,163,0
2026-01,EC,"(5,10]",13,106,0
2026-01,ECFR,"(-10,-5]",1,0,9
2026-01,ECFR,"(-15,-10]",1,0,10
2026-01,ECFR,"(1,5]",1,3,0
2026-01,ECFR,"(15,30]",1,22,0
2026-01,EN,"(-1,0]",1,0,0
2026-01,EN,"(-10,-5]",1,0,7
2026-01,EN,"(30,60]",1,37,0
2026-01,FA,"(-1,0]",3,0,0
2026-01,FA,"(-10,-5]",4,0,34
2026-01,FA,"(-30,-15]",1,0,15
2026-01,FA,"(-5,-1]",6,0,19
2026-01,FA,"(0,1]",4,4,0
2026-01,FA,"(1,5]",8,28,0
2026-01,FA,"(10,15]",2,24,0
2026-01,FA,"(15,30]",4,80,0
2026-01,FA,"(30,60]",1,49,0
2026-01,FA,"(5,10]",3,23,0
2026-01,FB,"(-1,0]",2,0,0
2026-01,FB,"(-10,-5]",1,0,5
2026-01,FB,"(-5,-1]",4,0,8
2026-01,FB,"(1,5]",5,17,0
2026-01,FB,"(10,15]",1,15,0
2026-01,FB,"(15,30]",1,16,0
2026-01,FB,"(5,10]",2,19,0
2026-01,FR,"(-1,0]",19,0,0
2026-01,FR,"(-10,-5]",27,0,168
2026-01,FR,"(-15,-10]",8,0,92
2026-01,FR,"(-30,-15]",3,0,54
2026-01,FR,"(-5,-1]",66,0,145
2026-01,FR,"(0,1]",34,34,0
2026-01,FR,"(1,5]",99,315,0
2026-01,FR,"(10,15]",36,456,0
2026-01,FR,"(15,30]",55,1192,0
2026-01,FR,"(30,60]",27,1128,0
2026-01,FR,"(5,10]",81,628,0
2026-01,FR,"(60,120]",9,708,0
2026-01,FR,> 120,4,549,0
2026-01,IC,"(-1,0]",23,0,0
2026-01,IC,"(-10,-5]",28,0,168
2026-01,IC,"(-15,-10]",4,0,45
2026-01,IC,"(-5,-1]",33,0,81
2026-01,IC,"(0,1]",19,19,0
2026-01,IC,"(1,5]",29,98,0
2026-01,IC,"(10,15]",10,138,0
2026-01,IC,"(15,30]",15,323,0
2026-01,IC,"(30,60]",13,518,0
2026-01,IC,"(5,10]",33,247,0
2026-01,IC,"(60,120]",4,323,0
2026-01,IC,> 120,1,165,0
2026-01,ICN,"(-1,0]",1,0,0
2026-01,ICN,"(-10,-5]",4,0,22
2026-01,ICN,"(-30,-15]",3,0,64
2026-01,ICN,"(-5,-1]",6,0,10
2026-01,ICN,"(1,5]",9,37,0
2026-01,ICN,"(10,15]",1,13,0
2026-01,ICN,"(15,30]",1,17,0
2026-01,ICN,"(30,60]",1,48,0
2026-01,ICN,"(5,10]",1,6,0
2026-01,ICN,"(60,120]",1,112,0
2026-01,MET,"(-1,0]",57,0,0
2026-01,MET,"(-10,-5]",23,0,131
2026-01,MET,"(-5,-1]",203,0,372
2026-01,MET,"(0,1]",60,60,0
2026-01,MET,"(1,5]",91,251,0
2026-01,MET,"(10,15]",6,69,0
2026-01,MET,"(15,30]",3,68,0
2026-01,MET,"(30,60]",1,51,0
2026-01,MET,"(5,10]",14,104,0
2026-01,REG,"(-1,0]",1876,0,0
2026-01,REG,"(-10,-5]",743,0,4441
2026-01,REG,"(-15,-10]",55,0,616
2026-01,REG,"(-30,-15]",10,0,183
2026-01,REG,"(-5,-1]",5531,0,11210
2026-01,REG,"(0,1]",1962,1962,0
2026-01,REG,"(1,5]",4474,14273,0
2026-01,REG,"(10,15]",469,5960,0
2026-01,REG,"(15,30]",476,10127,0
2026-01,REG,"(30,60]",194,7874,0
2026-01,REG,"(5,10]",1486,11092,0
2026-01,REG,"(60,120]",41,3194,0
2026-01,REG,> 120,6,872,0
2026-02,REG,"(0,1]",1,1,0
2026-02,REG,"(15,30]",2,57,0
