mese,categoria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2026-02,EC,"(-1,0]",5,0,0
2026-02,EC,"(-10,-5]",2,0,13
2026-02,EC,"(-15,-10]",2,0,22
2026-02,EC,"(-5,-1]",15,0,38
2026-02,EC,"(0,1]",9,9,0
2026-02,EC,"(1,5]",8,29,0
2026-02,EC,"(10,15]",2,27,0
2026-02,EC,"(15,30]",4,95,0
2026-02,EC,"(30,60]",1,33,0
2026-02,EC,"(5,10]",4,31,0
2026-02,EC,"(60,120]",1,64,0
2026-02,ECFR,"(10,15]",2,26,0
2026-02,ECFR,"(30,60]",1,39,0
2026-02,ECFR,"(5,10]",1,8,0
2026-02,EN,"(15,30]",2,39,0
2026-02,EN,"(30,60]",1,36,0
2026-02,EN,"(5,10]",1,7,0
2026-02,EXP,"(-1,0]",1,0,0
2026-02,EXP,"(-10,-5]",1,0,8
2026-02,EXP,"(-15,-10]",1,0,12
2026-02,EXP,"(1,5]",1,5,0
2026-02,EXP,"(10,15]",1,11,0
2026-02,FA,"(-1,0]",2,0,0
2026-02,FA,"(-10,-5]",1,0,5
2026-02,FA,"(-30,-15]",1,0,16
2026-02,FA,"(-5,-1]",1,0,4
2026-02,FA,"(0,1]",1,1,0
2026-02,FA,"(1,5]",6,19,0
2026-02,FA,"(15,30]",1,22,0
2026-02,FA,"(30,60]",2,86,0
2026-02,FA,"(5,10]",1,8,0
2026-02,FA,"(60,120]",1,88,0
2026-02,FA,> 120,1,122,0
2026-02,FB,"(-1,0]",1,0,0
2026-02,FB,"(-10,-5]",1,0,5
2026-02,FB,"(-5,-1]",1,0,2
2026-02,FB,"(0,1]",1,1,0
2026-02,FB,"(1,5]",1,4,0
2026-02,FB,"(10,15]",1,15,0
2026-02,FB,"(15,30]",2,49,0
2026-02,FB,"(5,10]",1,7,0
2026-02,FB,"(60,120]",3,296,0
2026-02,FR,"(-1,0]",8,0,0
2026-02,FR,"(-10,-5]",18,0,113
2026-02,FR,"(-15,-10]",1,0,11
2026-02,FR,"(-30,-15]",1,0,18
2026-02,FR,"(-5,-1]",51,0,110
2026-02,FR,"(0,1]",13,13,0
2026-02,FR,"(1,5]",59,211,0
2026-02,FR,"(10,15]",22,272,0
2026-02,FR,"(15,30]",14,267,0
2026-02,FR,"(30,60]",10,432,0
2026-02,FR,"(5,10]",37,286,0
2026-02,FR,"(60,120]",2,180,0
2026-02,FR,> 120,21,3591,0
2026-02,IC,"(-1,0]",3,0,0
2026-02,IC,"(-10,-5]",11,0,79
2026-02,IC,"(-15,-10]",1,0,13
2026-02,IC,"(-30,-15]",1,0,15
2026-02,IC,"(-5,-1]",19,0,49
2026-02,IC,"(0,1]",3,3,0
2026-02,IC,"(1,5]",13,43,0
2026-02,IC,"(10,15]",7,85,0
2026-02,IC,"(15,30]",15,328,0
2026-02,IC,"(30,60]",5,239,0
2026-02,IC,"(5,10]",18,138,0
2026-02,IC,"(60,120]",7,550,0
2026-02,IC,<= -60,1,0,67
2026-02,IC,> 120,1,121,0
2026-02,ICN,"(-1,0]",1,0,0
2026-02,ICN,"(-10,-5]",3,0,17
2026-02,ICN,"(-15,-10]",1,0,12
2026-02,ICN,"(-30,-15]",1,0,17
2026-02,ICN,"(-5,-1]",2,0,4
2026-02,ICN,"(0,1]",2,2,0
2026-02,ICN,"(1,5]",3,8,0
2026-02,ICN,"(10,15]",2,25,0
2026-02,ICN,"(15,30]",1,16,0
2026-02,ICN,"(30,60]",1,44,0
2026-02,ICN,"(5,10]",2,18,0
2026-02,ICN,"(60,120]",2,149,0
2026-02,MET,"(-1,0]",34,0,0
2026-02,MET,"(-10,-5]",15,0,100
2026-02,MET,"(-15,-10]",1,0,11
2026-02,MET,"(-5,-1]",94,0,198
2026-02,MET,"(0,1]",34,34,0
2026-02,MET,"(1,5]",30,85,0
2026-02,MET,"(10,15]",1,15,0
2026-02,MET,"(15,30]",1,20,0
2026-02,MET,"(30,60]",1,50,0
2026-02,MET,"(5,10]",4,29,0
2026-02,NCL,"(-1,0]",1,0,0
2026-02,NCL,"(-5,-1]",2,0,4
2026-02,NCL,"(-60,-30]",1,0,42
2026-02,NCL,"(1,5]",1,2,0
2026-02,REG,"(-1,0]",906,0,0
2026-02,REG,"(-10,-5]",399,0,2381
2026-02,REG,"(-15,-10]",26,0,293
2026-02,REG,"(-30,-15]",7,0,117
2026-02,REG,"(-5,-1]",2956,0,5873
2026-02,REG,"(0,1]",1062,1062,0
2026-02,REG,"(1,5]",2314,7207,0
2026-02,REG,"(10,15]",173,2219,0
2026-02,REG,"(15,30]",180,3846,0
2026-02,REG,"(30,60]",76,2941,0
2026-02,REG,"(5,10]",660,4912,0
2026-02,REG,"(60,120]",16,1310,0
2026-02,REG,> 120,1,154,0
2026-02,nan,"(1,5]",2,7,0
2026-02,,"(-5,-1]",1,0,2
2026-02,,"(1,5]",1,2,0
